loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
27.17043121,R,GER,113,264,Grass,G,25.06776181,R,ROU,102,308,2000,3,305
23.86858316,R,RUS,36,805,Grass,G,24.61875428,R,FRA,44,711,2000,2,306
18.97330595,L,CRO,82,387,Grass,G,19.85763176,R,SCG,118,246,2000,2,307
23.34017796,R,AUT,188,127,Grass,G,25.26214921,R,ITA,61,563,2000,2,309
27.07186858,R,BEL,15,1603,Grass,G,24.24366872,R,USA,16,1416,2000,2,311
22.63381246,R,ESP,62,556,Grass,G,21.20465435,R,USA,55,620,2000,2,312
22.93497604,R,AUT,54,622,Grass,G,20.40520192,R,GER,97,324,2000,2,313
23.96440794,R,SUI,81,389,Grass,G,24.00821355,R,ARG,52,632,2000,2,315
22.98973306,R,ITA,48,693,Grass,G,21.53319644,L,SUI,35,836,2000,2,316
22.23682409,R,SUI,95,331,Grass,G,24.79945243,R,RUS,23,1152,2000,3,317
22.41478439,R,USA,32,903,Grass,G,24.04928131,R,USA,2,5815,2000,3,318
26.32443532,R,CHN,78,393,Grass,G,19.73716632,R,SUI,1,6000,2000,2,319
18.29979466,R,CRO,58,595,Grass,G,22.4476386,R,CRO,22,1178,2000,2,320
25.30595483,R,BUL,86,375,Grass,G,19.34839151,R,SLO,67,496,2000,2,321
26.52703628,R,NED,85,376,Grass,G,28.1779603,L,BEL,27,1021,2000,3,323
20.62149213,R,HUN,108,289,Grass,G,23.94524298,R,ISR,59,568,2000,3,324
21.35523614,R,ZIM,45,709,Grass,G,21.34428474,R,FRA,24,1135,2000,3,325
24.97741273,R,JPN,20,1257,Grass,G,20.02464066,R,USA,5,2647,2000,2,326
18.05065024,R,RUS,57,598,Grass,G,20.64887064,R,BLR,92,344,2000,3,330
19.05270363,R,RUS,19,1366,Grass,G,20.92539357,L,FRA,28,1009,2000,2,331
29.19644079,R,BLR,60,564,Grass,G,23.09103354,R,THA,40,739,2000,2,332
21.59342916,R,POL,80,390,Grass,G,25.78781656,R,ESP,73,435,2000,2,333
23.04996578,R,NED,186,131,Grass,G,18.74880219,R,USA,8,2254,2000,2,334
17.0513347,R,BEL,31,949,Grass,G,18.96783025,R,RUS,43,712,2000,2,335
23.9945243,R,JPN,106,295,Grass,G,20.42984257,R,USA,126,223,2000,2,337
26.50787132,L,ESP,47,699,Grass,G,17.2073922,R,AUS,30,963,2000,2,338
28.678987,R,RSA,12,1857,Grass,G,22.22039699,R,USA,77,398,2000,2,339
19.52908966,R,USA,46,699,Grass,G,21.89185489,R,AUT,74,435,2000,2,340
25.44558522,R,FRA,3,3494,Grass,G,21.32238193,L,ESP,49,691,2000,2,342
29.85078713,R,BEL,100,316,Grass,G,26.56536619,L,USA,6,2610,2000,2,343
25.06776181,R,ROU,102,308,Grass,G,24.61875428,R,FRA,44,711,2000,3,344
25.92744695,R,GBR,214,105,Grass,G,19.85763176,R,SCG,118,246,2000,2,345
25.26214921,R,ITA,61,563,Grass,G,28.5229295,R,ESP,9,1970,2000,2,346
